time,open,high,low,close,Volume,Volume MA
2018-06-04T00:00:00Z,7712.97,7764.44,6627.7,6781.17,53345.05560891,97981.05785969066
2018-06-11T00:00:00Z,6781.17,6919.97,6120,6453.41,67121.74696300998,96761.49193913265
2018-06-18T00:00:00Z,6451.03,6841.81,5780,6153.4,55968.55692368,92064.73821431166
2018-06-25T00:00:00Z,6153.6,6510,5774.72,6349.99,56900.771904389985,83975.09961856216
2018-07-02T00:00:00Z,6345.48,6820,6270.69,6706.6,44562.95908188,80759.17106128167
2018-07-09T00:00:00Z,6706.6,6814.72,6072,6349.3,42533.16345144,77454.65394620116
2018-07-16T00:00:00Z,6353.25,7696.88,6333.63,7396.6,62789.824109270005,77119.96356280815
2018-07-23T00:00:00Z,7393.5,8496.96,7369.86,8216.74,65167.530750570004,73797.57345814665
2018-07-30T00:00:00Z,8216.74,8295,6888.88,7032.61,62905.648633239995,70821.56671877866
2018-08-06T00:00:00Z,7028.89,7157.93,5995.75,6310.82,69594.76180375,69792.44375636615
2018-08-13T00:00:00Z,6311.99,6628.5,5880,6481.99,56003.42076059,66623.49427471065
2018-08-20T00:00:00Z,6481.63,6906.81,6223.9,6700.46,42724.85921257,64864.65733069115
2018-08-27T00:00:00Z,6700.13,7334.5,6641.35,7290.31,40370.70113209,63006.83167522216
2018-09-03T00:00:00Z,7291.94,7411.85,6094.38,6236.04,49374.32164329,61498.03838455667
2018-09-10T00:00:00Z,6238.99,6587,6162.06,6499.98,30741.479091929996,56950.10558150817
2018-09-17T00:00:00Z,6499.28,6826.28,6100,6702.22,38303.689663200006,55597.55702652617
2018-09-24T00:00:00Z,6703.37,6792.28,6324.96,6597.81,35704.88184016,52690.17354438467
2018-10-01T00:00:00Z,6597.79,6641.35,6396.34,6577.63,25762.450815760003,50553.91110145066
2018-10-08T00:00:00Z,6574.15,6656.63,6055.28,6183,28853.467425969997,48907.22618118967
2018-10-15T00:00:00Z,6185.04,6756,6149.28,6413.38,33476.464894339995,48110.287785502165
2018-10-22T00:00:00Z,6412.62,6473,6354.26,6405.57,16893.734062069998,46287.72170816017
2018-10-29T00:00:00Z,6404.27,6475,6199.25,6421.76,21489.47455922,44006.10808797067
2018-11-05T00:00:00Z,6428.23,6544,6269.46,6357.54,21831.423765780004,42299.251430075674
2018-11-12T00:00:00Z,6352.57,6388.21,5199.8,5559.26,65608.29557341001,42734.627613526674
2018-11-19T00:00:00Z,5553.01,5559.69,3474.73,3938.89,154152.19588431,48214.08945364817
2018-11-26T00:00:00Z,3934.22,4409.77,3522.28,4102.05,107895.62806324002,51482.21268423817
2018-12-03T00:00:00Z,4099.63,4115.15,3210,3529.75,96601.31212121001,53172.78708483516
2018-12-10T00:00:00Z,3528.68,3588.43,3122.28,3193.78,64611.983289289994,53145.00971177117
2018-12-17T00:00:00Z,3191.41,4172.07,3181.26,3943.83,106569.35139072001,55328.19484964517
2018-12-24T00:00:00Z,3947.82,4236.84,3566,3835.79,71427.10120158,55419.81181953667
2018-12-31T00:00:00Z,3831.03,4090,3629.66,4040.71,38663.537760470004,54552.817669530676
2019-01-07T00:00:00Z,4040.71,4112,3476,3515.95,62437.59428974,55538.45442338918
2019-01-14T00:00:00Z,3517.03,3774,3470,3536.72,47855.809281919996,55912.709830880674
2019-01-21T00:00:00Z,3537.42,3657.89,3401.36,3533.23,34870.15946036,55187.50172173417
2019-01-28T00:00:00Z,3532.23,3536.77,3322.19,3414.82,41811.02770177,55740.979152226166
2019-02-04T00:00:00Z,3413.75,3711.04,3328.7,3650.37,40319.33033481,55841.761185806674
2019-02-11T00:00:00Z,3651.32,3663.34,3531.01,3625.6,46582.74961214,56385.65457440568
2019-02-18T00:00:00Z,3625.6,4190,3614.82,3730.68,74297.49436443999,58812.40675183968
2019-02-25T00:00:00Z,3733.78,3897.62,3658.19,3789.52,40257.9466774,59382.630714411185
2019-03-04T00:00:00Z,3789.7,3950.25,3670,3897.92,44775.62862541,59947.588900964685
2019-03-11T00:00:00Z,3898.14,4040,3775.01,3965.5,37933.24745073,60999.564570397684
2019-03-18T00:00:00Z,3965.63,4055.35,3919.63,3969.99,32461.39359573,61548.16052222318
2019-03-25T00:00:00Z,3970.23,4130.36,3850.45,4096.08,38024.94549031,62357.83660844968
2019-04-01T00:00:00Z,4092.02,5345,4052.56,5190.85,117084.65931911,64931.65479573468
2019-04-08T00:00:00Z,5192.92,5466.06,4912,5162.72,64553.14861519999,60451.702432279184
2019-04-15T00:00:00Z,5160.54,5362.97,4948.57,5295.65,41797.6059345,57146.80132584218
2019-04-22T00:00:00Z,5295.96,5627,4991.42,5160.98,60706.17826832,55352.04463319768
2019-04-29T00:00:00Z,5152.98,5846.13,5071.58,5709.32,47315.30063961999,54487.21050071418
2019-05-06T00:00:00Z,5714.4,7585,5562.44,6974.35,96521.56034309999,53984.820948333174
2019-05-13T00:00:00Z,6968.84,8390.95,6178,8200,130340.30773419999,56930.48127496417
2019-05-20T00:00:00Z,8193.45,8802.29,7468.31,8733.26,58959.95818376,57945.30229612867
2019-05-27T00:00:00Z,8733.27,9096.79,8000,8734.49,57315.052973269994,57689.17523030516
2019-06-03T00:00:00Z,8735.84,8745.96,7432.84,7632.99,61144.24456892,58353.59699465516
2019-06-10T00:00:00Z,7629.98,9391.85,7523.16,8974.19,57491.10195461,59484.644119367666
2019-06-17T00:00:00Z,8973.02,11247.62,8918,10831.95,70179.03609093,60903.04453882567
2019-06-24T00:00:00Z,10827.23,13880,10300,10760.1,137601.50428437,65767.15323630367
2019-07-01T00:00:00Z,10759.24,12061.04,9614.08,11469.96,100246.50470339002,68450.34099086616
2019-07-08T00:00:00Z,11478.43,13200,10090,10191.87,96062.97030982998,69538.61478813566
2019-07-15T00:00:00Z,10191.87,11120,9049.54,10600.24,101471.67421588,72599.30116505966
2019-07-22T00:00:00Z,10605.03,10686.89,9111,9533.19,53268.50402609,73023.94493509366
2019-07-29T00:00:00Z,9538.73,11085.99,9360,10986.96,50041.17451748,73629.34128843117
2019-08-05T00:00:00Z,10986.55,12325,10986.55,11528.73,78451.5061703,75928.84691715967
2019-08-12T00:00:00Z,11527.44,11551.57,9467.57,10318.99,58569.35062751001,76956.06717401967
2019-08-19T00:00:00Z,10318.99,10955.48,9755.53,10136.75,45067.79312166,73355.22386414718
2019-08-26T00:00:00Z,10136.75,10650,9320,9767.53,37657.10498579,72010.42168267668
2019-09-02T00:00:00Z,9767.56,10949,9753.24,10400.18,49213.56552986999,72381.21966244518
2019-09-09T00:00:00Z,10387.33,10542.93,9855.11,10305.74,28761.37405576,70783.97945181718
2019-09-16T00:00:00Z,10320.36,10380.07,9600,10020.58,33808.79032852,70108.65393626217
2019-09-23T00:00:00Z,10022.38,10048.06,7733.99,8047.6,89548.47798612001,69759.99981841317
2019-09-30T00:00:00Z,8060.13,8531.25,7714.7,7854.12,50575.659815420004,65771.76742247416
2019-10-07T00:00:00Z,7863.75,8820,7763.54,8282.96,46109.381020010005,65129.23856428666
2019-10-14T00:00:00Z,8278.39,8420.85,7811.62,8235.74,38810.69859726,64204.020845486164
2019-10-21T00:00:00Z,8236.49,10350,7293.55,9557.08,104550.78017194002,66374.34762563717
2019-10-28T00:00:00Z,9547.32,9950,8961.53,9207,54590.13531242,66229.29929352767
2019-11-04T00:00:00Z,9207,9586.5,8661,9024.49,33222.77552301,64381.486265131665
2019-11-11T00:00:00Z,9029.88,9075.32,8363,8499.31,26181.734319830004,58810.49776690467
2019-11-18T00:00:00Z,8499.53,8508.4,6785,6908.36,53326.69248330001,56464.50715590018
2019-11-25T00:00:00Z,6900.9,7870.35,6515,7412.66,67026.14573654,55012.66592723568
2019-12-02T00:00:00Z,7411.75,7772.71,7087.09,7524.26,27256.23507943,51301.89397041318
2019-12-09T00:00:00Z,7516.8,7666,7007,7115.08,25508.43480849,49913.89050953318
2019-12-16T00:00:00Z,7115.08,7530,6425,7509.7,40527.4746005,49438.20551368418
2019-12-23T00:00:00Z,7521.88,7692.98,7052,7385.54,23714.75676272,46701.36804330518
2019-12-30T00:00:00Z,7372.79,7495,6853.53,7356.7,25490.162602239998,45047.40864204168
2020-01-06T00:00:00Z,7352.12,8463.57,7342.46,8180.76,51601.48463654999,45374.093217786176
2020-01-13T00:00:00Z,8180.75,9188.1,8039,8696.6,58167.631025610004,46399.619519777174
2020-01-20T00:00:00Z,8698.97,8792.98,8212.9,8590.48,35153.51628436,45696.61705750167
2020-01-27T00:00:00Z,8600,9570,8546.55,9329.39,43306.825180679996,46423.88961374768
2020-02-03T00:00:00Z,9309.69,10178.54,9075,10173.97,37356.37996784,46601.26909571368
2020-02-10T00:00:00Z,10173.51,10500.5,9598.49,9912.89,47675.285549809996,44507.60947389818
2020-02-17T00:00:00Z,9925.96,10300,9312,9965.21,38910.129242480005,43924.33294525118
