time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Volume MA
1614643200,49641.89,50250,47069.52,48516.35,49320.85199999998,29181.910546874995,41620.3992,49624.71380952384,22705.931599999993,4945.78880692,7840.187304830074
1614729600,48438,52652.82,48168.45,50379.68,48609.52899999997,29473.417968749993,41947.292400000006,49887.81142857146,22898.56899999999,6151.4871525,7678.220844713073
1614816000,50376.05,51817.54,47500,48360.5,48028.21399999998,29744.610156249993,42166.6326,49905.86000000004,23080.801399999993,5641.61213573,7661.794656361072
1614902400,48353.09,49471.24,46294,48739.21,48013.341999999975,30021.676406249993,42358.7298,49969.83000000004,23263.00554999999,5219.24690875,7709.173394224573
1614988800,48774.67,49200,47082.29,48904.63,47928.40499999998,30298.521640624997,42601.691,50049.646666666704,23447.738199999993,2141.06029528,7556.141712708573
1615075200,48933.12,51477.53,48933.12,50967.3,48316.27699999997,30590.749531249996,42901.037000000004,50159.39904761909,23643.786949999994,2818.44991057,7350.9639279380735
1615161600,50952.55,52427.8,49316.98,52427.8,48927.57399999998,30892.403593749994,43233.208,50372.98142857147,23846.62909999999,4419.56113432,7153.138180247074
1615248000,52427.8,54939.26,51857,54929.02,49809.477999999974,31214.020937499994,43599.449400000005,50647.38571428576,24063.615499999993,5428.89224399,6946.000394009575
1615334400,54927.29,57402.89,53010,55852.29,50870.610999999975,31544.400390624993,43998.1428,50822.529047619086,24284.538449999993,6916.27818124,6975.307157132574
1615420800,55918.09,58155.99,54269,57772.09,51684.88699999997,31886.044999999995,44443.646400000005,51117.412380952424,24515.17564999999,6640.48776529,6845.842420189573
1615507200,57847.92,58098.5,55011,57271.04,52560.355999999985,32222.845390624992,44972.7036,51178.481904761946,24742.72184999999,5232.31057076,6848.095425601573
1615593600,57297.67,61781.83,56080.96,61165.19,53638.906999999985,32578.784062499995,45536.16620000001,51427.48904761909,24991.903399999996,6187.83400169,6979.338650204573
1615680000,61177.03,61700,58959.57,59016.39,54704.495999999985,32917.989531249994,46074.14420000001,51500.03571428575,25229.638849999992,3274.12215493,6292.903121410573
